user_id,appsflyer_device_id,created_at,updated_at
5449324,1623170356095-1376030,2021-06-08 16:43:12,2021-06-08 16:43:12
5449324,1623275829597-4270927,2021-06-09 22:17:25,2021-06-09 22:17:25
5449324,1626361208959-4270927,2021-07-16 17:12:34,2021-07-16 17:12:34
5449324,1630411205124-4270927,2021-08-31 17:47:21,2021-08-31 17:47:21
5449324,1632776603559-7855847,2021-09-27 21:13:00,2021-09-27 21:13:00
5449324,1636852283578-7855847,2021-11-14 17:41:08,2021-11-14 17:41:08
5449324,1637337029337-3993068,2021-11-19 15:51:00,2021-11-19 15:51:00
5449324,1642449673075-5489834,2022-01-17 20:02:00,2022-01-17 20:02:00
5449324,1645582071161-5130864,2022-02-23 02:44:09,2022-02-23 02:44:09
5449324,1654123289565-8352705,2022-06-01 22:42:17,2022-06-01 22:42:17
5449324,1654255846449-2967552,2022-06-03 11:31:18,2022-06-03 11:31:18
5449324,1656886046738-8442979,2022-07-04 01:06:28,2022-07-04 01:06:28
5449324,1657035182171-5597704,2022-07-05 15:37:23,2022-07-05 15:37:23
5449324,1657709718854-2202994,2022-07-13 10:59:58,2022-07-13 10:59:58
5449324,1657823706163-8808940,2022-07-14 18:36:06,2022-07-14 18:36:06
5449324,1658765958746-9016638,2022-07-25 18:59:55,2022-07-25 18:59:55
5449324,1659031501341-1864223,2022-07-28 18:05:54,2022-07-28 18:05:54
5449324,1660221116311-9319467,2022-08-12 19:46:00,2022-08-12 19:46:00
5449324,1660772827764-7816034,2022-08-17 22:28:55,2022-08-17 22:28:55
5449324,1661675781879-3530840,2022-08-28 09:03:00,2022-08-28 09:03:00
5449324,1662822355325-6054165,2022-09-14 16:01:20,2022-09-14 16:01:20
5449324,1668980101014-3256193,2022-11-24 15:44:20,2022-11-24 15:44:20
5449324,1678554770179-0691235,2023-03-11 17:13:45,2023-03-11 17:13:45
5449324,1685289302217-2255744,2023-05-28 15:56:53,2023-05-28 15:56:53
5449324,1685550871123-5064757,2023-05-31 16:54:05,2023-05-31 16:54:05
5449324,1689367772042-3330014,2023-07-14 21:54:51,2023-07-14 21:54:51
5449324,1689971869877-3058326,2023-07-21 20:40:06,2023-07-21 20:40:06
5449324,1691359088370-1232133,2023-08-06 22:01:27,2023-08-06 22:01:27
5449324,1700168483830-5963772,2023-11-20 02:24:43,2023-11-20 02:24:43
5449324,1705509799635-5176542,2024-01-18 17:44:01,2024-01-18 17:44:01
5449324,1714441696819-2569343,2024-04-30 02:08:48,2024-04-30 02:08:48
5449324,1717230424310-2732804,2024-06-01 14:50:37,2024-06-01 14:50:37
5449324,1719700127949-3517347,2024-06-29 22:29:26,2024-06-29 22:29:26
5449324,1737320732268-8811935,2025-01-19 21:07:23,2025-01-19 21:07:23
5449324,1746525234685-3517347,2025-05-06 09:54:49,2025-05-06 09:54:49
5449324,1751389231267-4512167,2025-07-01 17:20:39,2025-07-01 17:20:39
5449324,1753750826947-1044857,2025-07-29 01:02:11,2025-07-29 01:02:11
5449324,1772233289677-2276209,2026-02-27 23:03:25,2026-02-27 23:03:25
5449324,1778855714481-3105864,2026-05-15 15:43:32,2026-05-15 15:43:32
5449324,1779211940142-2315722,2026-05-20 17:06:39,2026-05-20 17:06:39
