notification_type,archived,created_at,tv_show_id,updated_at,active,diffusion,folder_id,notification_offset,tv_show_name,user_id
2,1,2020-08-24 21:24:03,70327,2025-12-06 13:25:50,1,original,,0,Buffy the Vampire Slayer,5449324
2,0,2017-07-04 02:59:18,70329,2025-12-06 13:25:50,0,original,,0,My Wife and Kids,5449324
2,0,2017-02-28 21:25:11,70533,2025-12-06 13:25:50,0,original,,0,Twin Peaks,5449324
2,1,2017-08-17 18:49:32,70626,2025-12-06 13:25:50,1,original,,0,Charmed,5449324
2,0,2017-08-21 14:47:24,71350,2025-12-06 13:25:50,0,original,,0,Fort Boyard,5449324
2,1,2016-01-10 14:02:52,71663,2025-12-06 13:25:50,1,original,,0,The Simpsons,5449324
2,0,2020-08-24 21:21:25,71811,2025-12-06 13:25:50,0,original,,0,Sabrina: The Animated Series,5449324
2,0,2018-06-25 17:39:26,72173,2025-12-06 13:25:50,1,original,,0,Arrested Development,5449324
2,0,2016-02-26 00:53:09,72477,2025-12-06 13:25:50,0,original,,0,The L Word,5449324
2,0,2020-12-13 14:56:24,72773,2025-12-06 13:25:50,0,original,,0,Martin Mystery,5449324
2,0,2019-05-01 20:01:59,72947,2025-12-06 13:25:50,0,original,,0,The Ant and the Aardvark,5449324
2,0,2016-08-25 14:43:09,72975,2025-12-06 13:25:50,0,original,,0,Pokémon Chronicles,5449324
2,0,2019-02-17 14:41:17,73141,2025-12-06 13:25:50,0,original,,0,American Dad!,5449324
2,0,2016-07-21 23:15:52,73248,2025-12-06 13:25:50,1,original,,0,Space Goofs,5449324
2,0,2016-10-02 11:38:15,73265,2025-12-06 13:25:50,0,original,,0,Medium,5449324
2,0,2020-08-24 21:21:49,73693,2025-12-06 13:25:50,0,original,,0,Inspector Gadget,5449324
2,0,2019-07-13 23:15:55,73719,2025-12-06 13:25:50,0,original,,0,101 Dalmatians: The Series,5449324
2,0,2018-10-23 18:35:49,73800,2025-12-06 13:25:50,0,original,,0,Desperate Housewives,5449324
2,0,2016-02-23 02:37:39,73838,2025-12-06 13:25:50,1,original,,0,Malcolm in the Middle,5449324
2,0,2019-06-22 20:45:27,73950,2025-12-06 13:25:50,0,original,,0,Corneil & Bernie,5449324
2,0,2018-10-23 18:48:15,73981,2025-12-06 13:25:50,0,original,,0,Aladdin,5449324
2,0,2019-02-25 21:59:27,74149,2025-12-06 13:25:50,0,original,,0,The Adventures of Super Mario Bros. 3,5449324
2,0,2016-10-02 11:42:46,74280,2025-12-06 13:25:50,1,original,,0,Code Lyoko,5449324
2,0,2019-02-25 21:59:38,74583,2025-12-06 13:25:50,0,original,,0,The Super Mario Bros. Super Show!,5449324
2,1,2018-01-20 10:48:50,74845,2025-12-06 13:25:50,1,original,,0,Weeds,5449324
2,0,2020-04-19 22:37:21,74995,2025-12-06 13:25:50,0,original,,0,Cosmos,5449324
2,0,2020-08-24 21:19:59,75402,2025-12-06 13:25:50,0,original,,0,The Wild Thornberrys,5449324
2,0,2016-07-17 22:29:01,75710,2025-12-06 13:25:50,0,original,,0,Criminal Minds,5449324
2,0,2018-07-23 02:47:18,75886,2025-12-06 13:25:51,0,original,,0,SpongeBob SquarePants,5449324
2,0,2020-12-03 20:49:55,76143,2025-12-06 13:25:51,0,original,,0,Kyle XY,5449324
2,0,2018-10-26 21:50:34,76321,2025-12-06 13:25:51,0,original,,0,Freaks and Geeks,5449324
2,1,2016-08-14 01:22:43,76703,2025-12-06 13:25:51,1,original,,0,Pokémon,5449324
2,1,2019-04-29 00:10:53,76876,2025-12-06 13:25:51,1,original,,0,"Sabrina, The Teenage Witch",5449324
2,0,2019-07-20 00:43:27,77088,2025-12-06 13:25:51,0,original,,0,The Little Mermaid,5449324
2,0,2019-07-19 22:17:53,77137,2025-12-06 13:25:51,0,original,,0,The Addams Family,5449324
2,0,2019-06-22 21:01:59,77422,2025-12-06 13:25:51,0,original,,0,Tales of the City,5449324
2,0,2020-08-24 21:22:47,77612,2025-12-06 13:25:51,0,original,,0,The Adventures of Jimmy Neutron: Boy Genius,5449324
2,0,2018-02-22 08:10:27,77625,2025-12-06 13:25:51,0,original,,0,Totally Spies!,5449324
2,0,2021-09-05 07:24:10,78043,2025-12-06 13:25:51,0,original,,0,Tales from the Neverending Story,5449324
2,0,2019-02-25 22:00:02,78523,2025-12-06 13:25:51,0,original,,0,Super Mario World,5449324
2,0,2019-07-01 18:37:40,79168,2025-12-06 13:25:51,0,original,,0,Friends,5449324
2,1,2016-01-18 16:59:21,79349,2025-12-06 13:25:51,1,original,,0,Dexter,5449324
