episode_number,episode_id,user_id,vote_key,series_name,season_number
9,110895,5449324,110895-5449324-29,Space Goofs,1
24,208658,5449324,208658-5449324-29,Pokémon,7
24,208658,5449324,208658-5449324-3,Pokémon,7
25,208659,5449324,208659-5449324-29,Pokémon,7
26,208660,5449324,208660-5449324-29,Pokémon,7
27,208661,5449324,208661-5449324-28,Pokémon,7
28,208662,5449324,208662-5449324-29,Pokémon,7
28,208662,5449324,208662-5449324-28,Pokémon,7
29,208663,5449324,208663-5449324-28,Pokémon,7
30,208664,5449324,208664-5449324-28,Pokémon,7
31,208665,5449324,208665-5449324-29,Pokémon,7
31,208665,5449324,208665-5449324-28,Pokémon,7
32,208666,5449324,208666-5449324-28,Pokémon,7
32,208666,5449324,208666-5449324-29,Pokémon,7
33,208667,5449324,208667-5449324-27,Pokémon,7
33,208667,5449324,208667-5449324-28,Pokémon,7
34,208668,5449324,208668-5449324-28,Pokémon,7
39,208673,5449324,208673-5449324-3,Pokémon,7
40,208674,5449324,208674-5449324-28,Pokémon,7
40,208674,5449324,208674-5449324-29,Pokémon,7
41,208675,5449324,208675-5449324-29,Pokémon,7
1,218584,5449324,218584-5449324-29,"Sabrina, The Teenage Witch",1
1,218584,5449324,218584-5449324-3,"Sabrina, The Teenage Witch",1
2,218585,5449324,218585-5449324-29,"Sabrina, The Teenage Witch",1
21,307008,5449324,307008-5449324-3,Malcolm in the Middle,7
22,307233,5449324,307233-5449324-3,Malcolm in the Middle,7
3,324818,5449324,324818-5449324-20,"Go, Diego, Go!",1
27,384141,5449324,384141-5449324-3,Code Lyoko,4
28,384142,5449324,384142-5449324-3,Code Lyoko,4
30,384144,5449324,384144-5449324-3,Code Lyoko,4
1,402440,5449324,402440-5449324-29,Glee,1
1,2599511,5449324,2599511-5449324-29,Skins,5
10,3204531,5449324,3204531-5449324-28,Glee,2
8,3360391,5449324,3360391-5449324-4,Game of Thrones,1
2,3412791,5449324,3412791-5449324-28,Skins,5
3,3412801,5449324,3412801-5449324-29,Skins,5
4,3412811,5449324,3412811-5449324-29,Skins,5
5,3412821,5449324,3412821-5449324-28,Skins,5
6,3412831,5449324,3412831-5449324-27,Skins,5
7,3412841,5449324,3412841-5449324-29,Skins,5
8,3412851,5449324,3412851-5449324-3,Skins,5
15,3722141,5449324,3722141-5449324-3,Glee,2
18,3901811,5449324,3901811-5449324-29,Glee,2
18,3901811,5449324,3901811-5449324-28,Glee,2
19,3924021,5449324,3924021-5449324-3,Glee,2
8,3991431,5449324,3991431-5449324-3,Pokémon,14
9,4063481,5449324,4063481-5449324-5,Game of Thrones,1
9,4063481,5449324,4063481-5449324-3,Game of Thrones,1
20,4081820,5449324,4081820-5449324-29,Glee,2
20,4081820,5449324,4081820-5449324-3,Glee,2
21,4081821,5449324,4081821-5449324-3,Glee,2
22,4081822,5449324,4081822-5449324-28,Glee,2
4,4174039,5449324,4174039-5449324-29,Glee,3
3,4245772,5449324,4245772-5449324-4,Game of Thrones,2
3,4294185,5449324,4294185-5449324-27,Skins,7
4,4373908,5449324,4373908-5449324-3,Glee,4
6,4392178,5449324,4392178-5449324-3,Glee,4
7,4412949,5449324,4412949-5449324-29,Glee,4
8,4427153,5449324,4427153-5449324-29,Glee,4
9,4427154,5449324,4427154-5449324-28,Glee,4
9,4427154,5449324,4427154-5449324-29,Glee,4
5,4448266,5449324,4448266-5449324-1,Skins,7
1,4448267,5449324,4448267-5449324-27,Skins,7
4,4448291,5449324,4448291-5449324-28,Skins,7
2,4448293,5449324,4448293-5449324-1,Skins,7
1,4460750,5449324,4460750-5449324-27,Code Lyoko: Evolution,1
1,4466132,5449324,4466132-5449324-28,EastSiders,1
2,4466133,5449324,4466133-5449324-28,EastSiders,1
2,4471864,5449324,4471864-5449324-27,Code Lyoko: Evolution,1
3,4471866,5449324,4471866-5449324-1,Code Lyoko: Evolution,1
4,4471879,5449324,4471879-5449324-28,Code Lyoko: Evolution,1
5,4475153,5449324,4475153-5449324-28,Code Lyoko: Evolution,1
6,4480725,5449324,4480725-5449324-27,Code Lyoko: Evolution,1
7,4488245,5449324,4488245-5449324-1,Code Lyoko: Evolution,1
20,4513307,5449324,4513307-5449324-29,Glee,4
21,4513308,5449324,4513308-5449324-29,Glee,4
22,4513309,5449324,4513309-5449324-29,Glee,4
22,4513309,5449324,4513309-5449324-28,Glee,4
1,4516067,5449324,4516067-5449324-3,Attack on Titan,1
61,4531854,5449324,4531854-5449324-3,The Simpsons,0
1,4570259,5449324,4570259-5449324-3,Reign (2013),1
1,4570259,5449324,4570259-5449324-5,Reign (2013),1
2,4675283,5449324,4675283-5449324-5,Reign (2013),1
3,4682669,5449324,4682669-5449324-4,Reign (2013),1
13,4725162,5449324,4725162-5449324-3,Glee,5
13,4725162,5449324,4725162-5449324-29,Glee,5
12,5011460,5449324,5011460-5449324-3,Glee,6
13,5011466,5449324,5011466-5449324-3,Glee,6
1,5298530,5449324,5298530-5449324-29,The Magicians (2015),1
1,5302887,5449324,5302887-5449324-3,Lucifer,1
2,5302888,5449324,5302888-5449324-3,Lucifer,1
1,5350841,5449324,5350841-5449324-3,Call My Agent!,1
2,5350842,5449324,5350842-5449324-29,Call My Agent!,1
3,5350843,5449324,5350843-5449324-28,Call My Agent!,1
3,5350843,5449324,5350843-5449324-29,Call My Agent!,1
4,5350844,5449324,5350844-5449324-3,Call My Agent!,1
5,5350845,5449324,5350845-5449324-29,Call My Agent!,1
5,5350845,5449324,5350845-5449324-3,Call My Agent!,1
6,5350846,5449324,5350846-5449324-29,Call My Agent!,1
1,5474001,5449324,5474001-5449324-3,The Crown,1
1,5632528,5449324,5632528-5449324-3,Beautiful Loser,1
