episode_number,user_id,episode_id,cpt,created_at,updated_at,tv_show_name,episode_season_number
17,5449324,110888,1,2020-12-05 13:45:11,2020-12-05 13:45:11,Space Goofs,1
29,5449324,110910,1,2020-12-05 13:45:17,2020-12-05 13:45:17,Space Goofs,1
25,5449324,110911,1,2021-02-06 19:00:35,2021-02-06 19:00:35,Space Goofs,1
43,5449324,110921,1,2021-02-02 12:05:56,2021-02-02 12:05:56,Space Goofs,1
19,5449324,142465,1,2022-06-08 15:22:50,2022-06-08 15:22:50,Code Lyoko,1
20,5449324,142466,1,2022-06-09 16:20:37,2022-06-09 16:20:37,Code Lyoko,1
19,5449324,208653,1,2019-04-20 18:59:39,2019-04-20 18:59:39,Pokémon,7
1,5449324,307473,1,2021-01-30 21:13:47,2021-01-30 21:13:47,Dexter,1
1,5449324,319214,1,2023-11-20 02:25:12,2023-11-20 02:25:12,Skins,1
2,5449324,319215,1,2023-12-03 21:01:01,2023-12-03 21:01:01,Skins,1
3,5449324,319367,1,2023-12-03 21:01:02,2023-12-03 21:01:02,Skins,1
4,5449324,320043,1,2023-12-03 21:01:04,2023-12-03 21:01:04,Skins,1
5,5449324,320436,1,2023-12-03 21:01:06,2023-12-03 21:01:06,Skins,1
6,5449324,320774,1,2023-12-03 21:01:07,2023-12-03 21:01:07,Skins,1
7,5449324,323112,1,2024-01-01 20:51:40,2024-01-01 20:51:40,Skins,1
8,5449324,323691,1,2023-12-03 23:22:14,2023-12-03 23:22:14,Skins,1
9,5449324,324368,1,2023-12-03 23:22:16,2023-12-03 23:22:16,Skins,1
1,5449324,351984,1,2024-01-01 20:51:46,2024-01-01 20:51:46,Skins,2
2,5449324,351985,1,2024-01-01 20:51:48,2024-01-01 20:51:48,Skins,2
1,5449324,384100,1,2022-06-27 13:43:31,2022-06-27 13:43:31,Code Lyoko,0
2,5449324,384101,1,2022-06-27 13:43:33,2022-06-27 13:43:33,Code Lyoko,0
1,5449324,926121,1,2020-11-29 21:48:03,2020-11-29 21:48:03,Space Goofs,2
1,5449324,1295781,1,2020-11-15 21:12:32,2020-11-15 21:12:32,Misfits,1
2,5449324,1305771,1,2020-11-15 21:12:41,2020-11-15 21:12:41,Misfits,1
3,5449324,1305781,1,2020-11-15 21:12:42,2020-11-15 21:12:42,Misfits,1
4,5449324,1363761,1,2020-11-15 21:12:36,2020-11-15 21:12:36,Misfits,1
5,5449324,1387201,1,2020-11-15 21:12:40,2020-11-15 21:12:40,Misfits,1
6,5449324,1387211,1,2020-11-18 18:47:04,2020-11-18 18:47:04,Misfits,1
1,5449324,2572111,1,2020-11-18 18:47:09,2020-11-18 18:47:09,Misfits,2
2,5449324,3120051,1,2020-11-18 18:47:10,2020-11-18 18:47:10,Misfits,2
3,5449324,3120061,1,2020-11-18 18:47:12,2020-11-18 18:47:12,Misfits,2
4,5449324,3120071,1,2020-11-21 23:29:44,2020-11-21 23:29:44,Misfits,2
5,5449324,3120081,1,2020-11-21 23:29:45,2020-11-21 23:29:45,Misfits,2
6,5449324,3120091,1,2020-11-21 23:29:47,2020-11-21 23:29:47,Misfits,2
1,5449324,3254641,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
7,5449324,3296931,1,2020-11-21 23:29:50,2020-11-21 23:29:50,Misfits,2
8,5449324,3360391,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
2,5449324,3436411,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
3,5449324,3436421,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
4,5449324,3436431,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
5,5449324,3436441,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
6,5449324,3436451,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
7,5449324,3436461,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
26,5449324,3692901,1,2020-11-29 21:50:16,2020-11-29 21:50:16,Space Goofs,2
8,5449324,3692941,1,2020-11-30 22:13:32,2020-11-30 22:13:32,Space Goofs,2
2,5449324,3692981,1,2020-11-29 21:51:15,2020-11-29 21:51:15,Space Goofs,2
5,5449324,3692991,1,2020-11-29 21:49:27,2020-11-29 21:49:27,Space Goofs,2
16,5449324,3693011,1,2020-12-02 20:45:28,2020-12-02 20:45:28,Space Goofs,2
22,5449324,3693041,1,2020-11-30 22:13:36,2020-11-30 22:13:36,Space Goofs,2
20,5449324,3693091,1,2020-12-02 20:45:30,2020-12-02 20:45:30,Space Goofs,2
23,5449324,3693111,1,2020-12-02 20:45:27,2020-12-02 20:45:27,Space Goofs,2
27,5449324,3693151,1,2020-12-02 20:45:32,2020-12-02 20:45:32,Space Goofs,2
30,5449324,3693221,1,2020-11-30 22:13:30,2020-11-30 22:13:30,Space Goofs,2
37,5449324,3693241,1,2020-12-05 13:44:51,2020-12-05 13:44:51,Space Goofs,2
48,5449324,3693341,1,2020-12-05 13:45:00,2020-12-05 13:45:00,Space Goofs,2
46,5449324,3693351,1,2020-12-05 13:44:56,2020-12-05 13:44:56,Space Goofs,2
9,5449324,4063481,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
10,5449324,4063491,1,2021-01-15 14:52:45,2021-01-15 14:52:45,Game of Thrones,1
1,5449324,4161693,1,2021-01-15 14:52:50,2021-01-15 14:52:50,Game of Thrones,2
1,5449324,4182790,2,2020-11-24 10:28:21,2020-11-29 23:36:29,Misfits,3
2,5449324,4196015,2,2020-11-24 10:28:23,2020-11-29 23:36:29,Misfits,3
3,5449324,4196504,1,2020-11-29 23:36:29,2020-11-29 23:36:29,Misfits,3
4,5449324,4196508,1,2020-11-29 23:36:29,2020-11-29 23:36:29,Misfits,3
5,5449324,4196513,1,2020-11-29 23:36:29,2020-11-29 23:36:29,Misfits,3
6,5449324,4196515,1,2020-11-29 23:36:29,2020-11-29 23:36:29,Misfits,3
7,5449324,4196520,1,2020-11-29 23:36:29,2020-11-29 23:36:29,Misfits,3
8,5449324,4196524,1,2020-11-29 23:36:29,2020-11-29 23:36:29,Misfits,3
2,5449324,4245771,1,2021-01-15 14:52:52,2021-01-15 14:52:52,Game of Thrones,2
3,5449324,4245772,1,2021-01-19 16:47:17,2021-01-19 16:47:17,Game of Thrones,2
47,5449324,4320078,1,2021-02-02 12:06:09,2021-02-02 12:06:09,Space Goofs,1
1,5449324,4386604,1,2019-09-18 20:03:37,2019-09-18 20:03:37,American Horror Story,2
2,5449324,4391585,1,2019-09-22 19:36:05,2019-09-22 19:36:05,American Horror Story,2
3,5449324,4395925,1,2019-09-24 16:43:17,2019-09-24 16:43:17,American Horror Story,2
4,5449324,4395926,1,2019-10-24 16:26:21,2019-10-24 16:26:21,American Horror Story,2
5,5449324,4395927,1,2019-10-24 16:26:23,2019-10-24 16:26:23,American Horror Story,2
6,5449324,4395928,1,2019-11-01 20:42:14,2019-11-01 20:42:14,American Horror Story,2
1,5449324,4398152,1,2018-11-10 14:54:44,2018-11-10 14:54:44,Bates Motel,1
1,5449324,4400536,1,2020-11-30 10:31:22,2020-11-30 10:31:22,Misfits,4
7,5449324,4420013,2,2019-11-01 21:49:05,2019-11-01 22:10:54,American Horror Story,2
2,5449324,4426773,1,2020-12-03 10:46:40,2020-12-03 10:46:40,Misfits,4
3,5449324,4427084,1,2020-12-03 10:46:42,2020-12-03 10:46:42,Misfits,4
4,5449324,4427085,1,2020-12-03 10:47:00,2020-12-03 10:47:00,Misfits,4
5,5449324,4427086,1,2020-12-05 13:50:29,2020-12-05 13:50:29,Misfits,4
