monthly_score,tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score,weekly_score
100,Buffy the Vampire Slayer,5449324,70327,1598307845,100,100
100,Charmed,5449324,70626,1616523834,100,100
80,Fort Boyard,5449324,71350,1503326844,80,80
100,The Simpsons,5449324,71663,1662220181,100,100
100,Arrested Development,5449324,72173,1555621326,100,100
35,Pokémon Chronicles,5449324,72975,1472136193,35,35
100,Space Goofs,5449324,73248,1612644556,100,100
35,Medium,5449324,73265,1475408295,35,35
100,Malcolm in the Middle,5449324,73838,1650416261,100,100
100,Code Lyoko,5449324,74280,1656486916,100,100
35,Weeds,5449324,74845,1536694491,35,35
35,Criminal Minds,5449324,75710,1468794540,35,35
100,SpongeBob SquarePants,5449324,75886,1533128185,100,100
100,Pokémon,5449324,76703,1732223602,100,100
70,"Sabrina, The Teenage Witch",5449324,76876,1556668750,70,70
35,Totally Spies!,5449324,77625,1519287027,35,35
100,Dexter,5449324,79349,1477629135,100,100
100,Skins,5449324,79773,1659403856,100,100
35,"Go, Diego, Go!",5449324,79896,1545860420,35,35
100,Happy Tree Friends,5449324,80534,1540856305,100,100
100,Wizards of Waverly Place,5449324,80726,1588364704,100,100
100,Le cœur a ses raisons,5449324,80741,1475517232,100,100
100,"Don't Do This, Don't Do That",5449324,80977,1734557934,100,100
100,H2O: Just Add Water,5449324,81061,1598976974,100,100
35,Phineas and Ferb,5449324,81848,1588790401,35,35
100,Oggy and the Cockroaches,5449324,82956,1538564685,100,100
100,Glee,5449324,83610,1567256877,100,100
100,Dinosaur King,5449324,85329,1551547063,100,100
35,Modern Family,5449324,95011,1480354072,35,35
70,The Middle,5449324,95021,1456261444,70,70
100,Titeuf,5449324,100991,1542544717,100,100
100,Game of Thrones,5449324,121361,1612341489,100,100
100,Misfits,5449324,124051,1607870195,100,100
100,Campers in Paradise,5449324,125431,1456361844,100,100
100,One Step Forward,5449324,144491,1603819579,100,100
100,The Garfield Show,5449324,145371,1520705269,100,100
35,Simon's Cat,5449324,145431,1496522080,35,35
100,Pretty Little Liars,5449324,146711,1531002412,100,100
100,Genie in the House,5449324,160661,1472159578,100,100
100,"Josephine, Guardian Angel",5449324,196331,1521753818,100,100
100,Ratz,5449324,225071,1532062723,100,100
100,Profilage,5449324,226181,1476993627,100,100
100,Clem,5449324,243011,1560545567,100,100
100,Watch My Chops,5449324,247952,1495036550,100,100
100,New Girl,5449324,248682,1479562314,100,100
100,Don't Trust the B---- in Apartment 23,5449324,248812,1471045473,100,100
100,Once Upon a Time (2011),5449324,248835,1493402566,100,100
100,Touch (2012),5449324,248935,1478068487,100,100
100,My Babysitter's a Vampire,5449324,248972,1484341755,100,100
100,Secret Story,5449324,249896,1782859689,100,100
100,American Horror Story,5449324,250487,1757177706,100,100
35,3%,5449324,250749,1498704536,35,35
100,Bref.,5449324,251562,1745097476,100,100
