count,expires_at,runtime,user_id,type
8,1742715435,15780,5449324,month-2023-10
8,1742715435,19500,5449324,month-2023-11
5,1742715435,10980,5449324,month-2023-12
5,1742715434,7200,5449324,month-2023-3
7,1742715434,16800,5449324,month-2023-4
15,1742715435,27060,5449324,month-2023-5
21,1742715435,41760,5449324,month-2023-6
48,1742715435,155940,5449324,month-2023-7
26,1742715435,67080,5449324,month-2023-8
4,1742715435,10140,5449324,month-2023-9
19,1742715435,51180,5449324,month-2024-1
19,1761706111,45120,5449324,month-2024-10
20,1764122312,55140,5449324,month-2024-11
18,1766682357,48660,5449324,month-2024-12
22,1742715435,52800,5449324,month-2024-2
11,1743017743,19560,5449324,month-2024-3
5,1745819227,12000,5449324,month-2024-4
0,1746233841,0,5449324,month-2024-5
4,1750798454,17280,5449324,month-2024-6
18,1753654839,65940,5449324,month-2024-7
6,1754806795,15480,5449324,month-2024-8
1,1742715435,2340,5449324,week-2023-52
0,1742715435,0,5449324,week-2024-1
9,1742715436,14040,5449324,week-2024-10
0,1742715436,0,5449324,week-2024-11
0,1742715436,0,5449324,week-2024-12
2,1743017743,5520,5449324,week-2024-13
0,1745819227,0,5449324,week-2024-17
5,1746233841,18300,5449324,week-2024-18
0,1742715435,0,5449324,week-2024-2
0,1749481448,0,5449324,week-2024-23
0,1750798454,0,5449324,week-2024-26
1,1751525741,4320,5449324,week-2024-27
0,1752150760,0,5449324,week-2024-28
0,1753109906,0,5449324,week-2024-29
1,1742715435,2340,5449324,week-2024-3
2,1753654839,7320,5449324,week-2024-30
6,1754806795,15480,5449324,week-2024-32
8,1742715435,20640,5449324,week-2024-4
2,1759708631,5400,5449324,week-2024-40
2,1760278290,5280,5449324,week-2024-41
4,1760912859,10680,5449324,week-2024-42
1,1761519105,2640,5449324,week-2024-43
10,1761706111,21120,5449324,week-2024-44
2,1762520291,5280,5449324,week-2024-45
1,1763414383,2940,5449324,week-2024-46
0,1764027358,0,5449324,week-2024-47
9,1764122312,24840,5449324,week-2024-48
23,1742715435,54540,5449324,week-2024-5
2,1765818703,5400,5449324,week-2024-50
8,1766093935,21900,5449324,week-2024-51
3,1766682357,8100,5449324,week-2024-52
0,1742715435,0,5449324,week-2024-6
0,1742715435,0,5449324,week-2024-7
1,1742715435,3240,5449324,week-2024-8
8,1742715436,23220,5449324,week-2024-9
