user_id,tv_show_id,rating,created_at,updated_at,tv_show_name
5449324,71663,4.50,2017-08-02 06:11:33,2017-08-02 06:11:33,The Simpsons
5449324,72173,3,2018-07-12 15:13:14,2018-07-17 21:46:56,Arrested Development
5449324,76703,4.50,2017-08-21 14:30:05,2018-05-11 10:11:52,Pokémon
5449324,80977,5,2016-02-25 01:10:31,2016-02-25 01:10:31,"Don't Do This, Don't Do That"
5449324,100991,4.50,2017-04-18 12:45:35,2017-04-18 12:45:35,Titeuf
5449324,124051,5,2017-08-02 06:19:55,2017-08-02 06:19:56,Misfits
5449324,146711,3.50,2018-07-04 00:48:08,2018-07-04 00:48:08,Pretty Little Liars
5449324,160661,4.50,2017-08-02 06:19:41,2017-08-02 06:19:41,Genie in the House
5449324,196331,4.50,2016-02-25 01:11:31,2016-02-25 01:11:31,"Josephine, Guardian Angel"
5449324,243011,5,2016-02-25 01:11:04,2016-02-25 01:11:04,Clem
5449324,247952,5,2016-08-18 00:50:13,2016-08-18 00:50:13,Watch My Chops
5449324,248812,5,2018-07-04 00:47:25,2018-07-04 00:47:25,Don't Trust the B---- in Apartment 23
5449324,250487,5,2017-08-02 06:12:30,2017-08-02 06:12:30,American Horror Story
5449324,253463,5,2016-02-25 01:10:51,2016-02-25 01:10:51,Black Mirror
5449324,256006,4,2018-07-04 00:48:17,2018-07-04 00:48:17,Rita
5449324,257599,4.50,2018-07-19 04:34:50,2018-07-19 04:34:50,Shuriken School
5449324,260315,3.50,2017-08-02 06:12:12,2017-08-02 06:12:15,Orphan Black
5449324,261401,5,2016-04-26 18:27:44,2016-04-26 18:27:44,The Vault
5449324,262414,5,2017-04-26 01:26:43,2017-08-02 06:19:06,Bates Motel
5449324,264586,5,2017-08-02 06:18:16,2017-08-02 06:18:16,Orange Is the New Black
5449324,267907,4,2018-07-23 00:12:04,2018-07-23 00:12:04,The Fosters (2013)
5449324,274897,4,2017-08-02 06:20:21,2017-08-02 06:20:22,Salem
5449324,281593,4,2017-08-02 06:17:37,2017-08-02 06:17:38,Unbreakable Kimmy Schmidt
5449324,281621,4,2017-04-26 01:26:23,2017-04-26 01:26:24,Jane the Virgin
5449324,281622,4,2018-07-04 00:48:35,2018-07-04 00:48:36,The Last Man on Earth
5449324,282254,2.50,2017-08-02 06:17:11,2018-10-15 20:34:43,BoJack Horseman
5449324,283947,3.50,2018-07-04 00:46:36,2018-07-04 00:46:36,Assassination Classroom
5449324,286891,3.50,2017-07-01 04:37:48,2017-07-01 04:37:48,Making A Scene With James Franco
5449324,293194,4,2016-02-25 01:10:43,2018-07-04 00:46:54,Between
5449324,293302,3.50,2017-08-02 06:20:34,2017-08-02 06:20:34,Scream Queens
5449324,295727,4.50,2016-02-03 15:29:20,2016-02-03 15:29:20,Hjørdis
5449324,296762,2,2018-07-05 15:46:33,2018-07-05 15:46:33,Westworld
5449324,303786,5,2017-08-02 06:18:41,2017-08-02 06:18:41,Skam
5449324,304219,0.50,2017-10-30 23:32:21,2017-10-30 23:32:21,Marvel's Luke Cage
5449324,305378,4,2016-02-24 02:23:54,2016-02-24 02:23:57,Love
5449324,305719,4.50,2017-04-20 23:22:04,2017-08-02 06:19:14,Big Little Lies
5449324,311901,3,2018-07-08 11:58:48,2018-07-08 11:58:50,Marlon
5449324,312505,2.50,2018-06-23 22:57:36,2018-06-23 22:57:39,Dirk Gently's Holistic Detective Agency
5449324,317728,4,2018-07-18 01:17:34,2018-07-18 01:17:34,The Deuce
