emotion_id,count,created_at,updated_at,tv_show_name,tv_show_id,user_id
3,1,2017-08-17 18:50:29,2017-08-17 18:50:29,Charmed,70626,5449324
1,42,2016-10-12 10:33:49,2022-06-22 06:15:08,The Simpsons,71663,5449324
2,43,2016-10-11 14:49:00,2018-04-24 19:27:45,The Simpsons,71663,5449324
3,126,2016-10-10 22:55:56,2022-07-28 11:03:39,The Simpsons,71663,5449324
4,0,2016-10-23 19:10:50,2016-10-23 19:10:51,The Simpsons,71663,5449324
6,28,2016-10-22 20:13:33,2022-07-28 11:03:47,The Simpsons,71663,5449324
7,3,2017-08-07 15:48:51,2019-05-08 22:42:46,The Simpsons,71663,5449324
8,3,2019-02-12 17:43:33,2022-06-22 06:40:47,The Simpsons,71663,5449324
1,0,2018-07-18 02:12:34,2018-07-18 17:00:29,Arrested Development,72173,5449324
2,2,2018-07-08 13:39:51,2018-07-18 21:15:42,Arrested Development,72173,5449324
6,3,2018-07-12 15:16:58,2019-04-18 21:03:53,Arrested Development,72173,5449324
7,3,2018-07-12 15:16:56,2019-04-18 21:02:56,Arrested Development,72173,5449324
1,2,2016-08-19 14:22:48,2021-02-02 12:17:39,Space Goofs,73248,5449324
2,6,2016-08-19 14:22:48,2016-08-19 14:22:48,Space Goofs,73248,5449324
3,7,2016-08-19 14:22:48,2016-08-19 14:22:48,Space Goofs,73248,5449324
8,1,2021-02-02 12:17:39,2021-02-02 12:17:39,Space Goofs,73248,5449324
1,1,2022-04-20 00:57:43,2022-04-20 00:57:43,Malcolm in the Middle,73838,5449324
3,2,2022-04-20 00:35:43,2022-04-20 00:57:43,Malcolm in the Middle,73838,5449324
1,0,2022-06-29 06:28:57,2022-06-29 06:28:58,Code Lyoko,74280,5449324
3,4,2016-10-02 11:42:59,2022-06-29 07:15:18,Code Lyoko,74280,5449324
3,1,2016-08-19 14:22:48,2016-08-19 14:22:48,Criminal Minds,75710,5449324
1,126,2016-08-19 14:22:48,2021-06-25 23:03:06,Pokémon,76703,5449324
2,48,2016-08-19 14:22:48,2019-04-07 09:43:32,Pokémon,76703,5449324
3,180,2016-08-19 14:22:48,2019-10-30 02:03:34,Pokémon,76703,5449324
4,1,2016-08-31 06:32:28,2016-10-10 21:10:28,Pokémon,76703,5449324
6,36,2016-08-19 14:22:48,2019-10-31 01:44:06,Pokémon,76703,5449324
7,6,2016-09-06 16:20:17,2019-06-14 02:21:41,Pokémon,76703,5449324
