poll_id,poll_choice_id,lang_taken,created_at,updated_at,user_id
467,1700,en,2018-03-06 20:03:10,2018-03-06 20:03:10,5449324
471,1716,fr,2018-07-11 20:24:55,2018-07-11 20:24:55,5449324
590,2185,fr,2018-07-11 20:23:42,2018-07-11 20:23:42,5449324
625,2319,fr,2018-07-11 20:22:54,2018-07-11 20:22:54,5449324
660,2457,fr,2018-07-11 20:24:28,2018-07-11 20:24:28,5449324
693,2577,fr,2018-07-11 21:34:31,2018-07-11 21:34:31,5449324
723,2697,fr,2018-07-11 22:17:02,2018-07-11 22:17:02,5449324
767,2876,fr,2018-07-04 21:03:05,2018-07-04 21:03:05,5449324
886,3329,fr,2018-07-21 04:04:38,2018-07-21 04:04:38,5449324
986,3720,fr,2018-12-30 22:51:48,2018-12-30 22:51:48,5449324
1140,4319,fr,2019-12-29 10:58:14,2019-12-29 10:58:14,5449324
1209,4587,fr,2018-12-11 21:23:12,2018-12-11 21:23:12,5449324
1233,4682,fr,2019-01-08 00:56:07,2019-01-08 00:56:07,5449324
1296,4927,en,2019-02-22 14:20:01,2019-02-22 14:20:01,5449324
1388,5277,fr,2019-02-24 17:10:00,2019-02-24 17:10:00,5449324
1390,5287,fr,2018-12-30 22:48:32,2018-12-30 22:48:32,5449324
1490,5682,fr,2019-01-31 21:53:02,2019-01-31 21:53:02,5449324
1526,5827,fr,2019-02-10 10:43:32,2019-02-10 10:43:32,5449324
1561,5964,en,2019-02-17 14:58:41,2019-02-17 14:58:41,5449324
1602,6125,fr,2019-02-24 17:36:28,2019-02-24 17:36:28,5449324
1635,6258,fr,2019-04-23 16:52:21,2019-04-23 16:52:21,5449324
1663,6373,fr,2019-04-23 15:06:41,2019-04-23 15:06:41,5449324
1694,6495,fr,2020-05-05 20:55:14,2020-05-05 20:55:14,5449324
1711,6562,fr,2019-04-23 16:52:43,2019-04-23 16:52:43,5449324
1719,6593,fr,2019-04-15 21:41:47,2019-04-15 21:41:47,5449324
1740,6677,fr,2019-05-03 19:12:35,2019-05-03 19:12:35,5449324
1770,6796,fr,2019-04-18 22:28:53,2019-04-18 22:28:53,5449324
1784,6850,fr,2019-04-18 23:10:21,2019-04-18 23:10:21,5449324
1790,6873,fr,2019-04-25 16:29:02,2019-04-25 16:29:02,5449324
1815,6970,fr,2019-05-06 17:51:41,2019-05-06 17:51:41,5449324
1828,7018,fr,2019-04-30 19:28:33,2019-04-30 19:28:33,5449324
1891,7269,fr,2019-05-17 18:02:07,2019-05-17 18:02:07,5449324
1921,7385,fr,2019-06-30 11:21:47,2019-06-30 11:21:47,5449324
1926,7407,fr,2019-06-14 23:33:13,2019-06-14 23:33:13,5449324
1930,7424,fr,2019-07-02 22:23:09,2019-07-02 22:23:09,5449324
1934,7440,fr,2019-08-22 23:24:33,2019-08-22 23:24:33,5449324
1944,7473,fr,2019-06-26 19:24:54,2019-06-26 19:24:54,5449324
1952,7503,fr,2019-07-02 12:19:24,2019-07-02 12:19:24,5449324
1965,7553,fr,2019-07-21 17:45:31,2019-07-21 17:45:31,5449324
1978,7607,fr,2019-07-21 17:06:49,2019-07-21 17:06:49,5449324
1981,7617,fr,2019-07-25 01:38:06,2019-07-25 01:38:06,5449324
1990,7655,fr,2019-12-28 20:06:12,2019-12-28 20:06:12,5449324
