push_id,object_type,object_id,created_at,updated_at,id,user_id,push_type
,article,4225,2016-06-28 15:07:42,2016-06-28 15:07:42,27821,5449324,interesting-article
,article,4296,2016-07-03 15:10:23,2016-07-03 15:10:23,206493,5449324,interesting-article
,article,4304,2016-07-04 15:08:18,2016-07-04 15:08:18,210376,5449324,interesting-article
,article,4304,2016-07-05 15:09:09,2016-07-05 15:09:09,230848,5449324,interesting-article
,article,4304,2016-07-06 15:09:26,2016-07-06 15:09:26,262126,5449324,interesting-article
,article,4348,2016-07-06 15:17:10,2016-07-06 15:17:10,266048,5449324,interesting-article
,article,4348,2016-07-07 15:09:13,2016-07-07 15:09:13,309021,5449324,interesting-article
,article,4339,2016-07-07 15:18:03,2016-07-07 15:18:03,335989,5449324,interesting-article
,article,4348,2016-07-08 15:09:35,2016-07-08 15:09:35,356968,5449324,interesting-article
,article,4339,2016-07-08 15:12:02,2016-07-08 15:12:02,375210,5449324,interesting-article
,article,4384,2016-07-09 15:11:50,2016-07-09 15:11:50,417368,5449324,interesting-article
,article,4425,2016-07-11 15:16:03,2016-07-11 15:16:03,500060,5449324,interesting-article
,article,4690,2016-07-29 15:01:08,2016-07-29 15:01:08,680327,5449324,interesting-article
