name,value,created_at,updated_at,id,user_id
last_notifications_key,"{""time"":{""N"":""1657702301261""},""user_id"":{""N"":""5449324""}}",2016-01-10 14:00:49,2026-02-22 00:32:23,1885295,5449324
notifications_activity_likes,1,2016-01-17 18:56:38,2016-01-17 18:56:38,1984579,5449324
notifications_friend_comments,0,2016-01-17 18:56:39,2019-02-27 12:05:45,1984580,5449324
processed-featured-products,[],2016-02-01 19:35:33,2016-02-01 19:35:33,2347749,5449324
current_shop_products,"[""174"",""175"",""236"",""995"",""1365"",""235"",""235"",""174"",""236"",""175"",""174"",""236"",""235"",""238"",""175"",""778"",""174"",""175"",""235"",""238"",""236""]",2016-02-01 19:35:33,2017-02-22 16:36:22,2347750,5449324
last_time_loaded_shop,1487781382,2016-02-08 16:37:49,2017-02-22 16:36:22,2539146,5449324
last_time_loaded_feed,2017-05-08 23:19:09,2016-04-21 02:54:33,2017-05-08 23:19:09,3786830,5449324
last_time_loaded_conversations,2018-11-28 21:16:40,2016-05-26 19:52:13,2018-11-28 21:16:40,4918937,5449324
episode_airing,local,2016-10-08 12:19:15,2016-10-16 22:22:06,7581081,5449324
twitter_message,%SHOW_NAME% %EPISODE_NUMBER% : watched%EPISODE_CARD%,2016-10-08 12:20:46,2017-10-29 13:17:19,7581109,5449324
notifications_comment_likes,0,2016-10-21 13:39:39,2018-10-23 18:55:43,7842303,5449324
notifications_friend_invites,1,2016-10-21 13:39:40,2018-09-02 23:15:04,7842304,5449324
notifications_news_and_articles,0,2016-10-21 13:39:44,2018-10-23 18:55:36,7842305,5449324
notifications_badge_unlocks,0,2017-02-22 16:32:03,2018-10-23 18:55:38,10215578,5449324
first_element_date_loaded_in_feed,2017-05-08 23:19:09,2017-03-16 18:39:43,2017-05-08 23:19:09,10894232,5449324
latest-version,smart-categories-v2,2017-04-26 01:13:57,2017-06-26 17:09:28,12814715,5449324
last_time_loaded_new_feed,2019-01-06 13:37:22,2017-05-11 10:35:11,2019-01-06 13:37:22,14570906,5449324
signup-hint,none,2017-05-24 13:32:34,2017-05-24 13:32:34,15948832,5449324
signup-hint-color,#8ed43d,2017-05-24 13:32:34,2017-05-24 13:32:34,15948833,5449324
show_skip_signup,0,2017-05-24 13:32:34,2017-05-24 13:32:34,15948834,5449324
profile_giftbox_hint_min_days,8,2017-06-20 16:53:49,2017-06-20 16:53:49,21800140,5449324
profile_giftbox_hint_style,popover,2017-06-20 16:53:49,2017-06-20 16:53:49,21800141,5449324
profile_giftbox_popover_type,0,2017-06-20 16:53:49,2017-06-20 16:53:49,21800142,5449324
profile_giftbox_popover_text,0,2017-06-20 16:53:49,2017-06-20 16:53:49,21800144,5449324
profile_giftbox_popover_text_color,#ffffff,2017-06-20 16:53:49,2017-06-20 16:53:49,21800146,5449324
profile_giftbox_popover_bg_color,#8ed43d,2017-06-20 16:53:49,2017-06-20 16:53:49,21800148,5449324
auto_share_cta_style,1,2017-06-23 13:27:55,2017-06-23 13:27:55,26453680,5449324
profile_categories_order,"[{""hidden"":false,""name"":""? Séries préférées"",""id"":""all_time_favorites""},{""hidden"":false,""name"":""? Continuer"",""id"":""watch_next""},{""hidden"":true,""name"":""? Pas vues depuis un moment"",""id"":""not_watched_for_a_while""},{""hidden"":true,""name"":""? Pas encore commencées"",""id"":""not_started_yet""},{""hidden"":false,""name"":""? Prochainement"",""id"":""upcoming""},{""hidden"":false,""name"":""? Pour plus tard"",""id"":""for_later""},{""hidden"":false,""name"":""? A jour"",""id"":""up_to_date""},{""hidden"":false,""name"":""? Terminées"",""id"":""finished""},{""hidden"":false,""name"":""? Arrêtées"",""id"":""stopped_watching""}]",2017-06-23 23:43:07,2018-10-20 20:01:19,27029358,5449324
last_time_loaded_notifications,2026-04-12 18:01:47,2017-07-25 15:29:25,2026-04-12 18:01:47,39071306,5449324
share_show_events,0,2017-10-29 13:16:38,2017-10-29 13:16:38,68998310,5449324
share_badge_events,0,2017-10-29 13:16:39,2017-10-29 13:16:39,68998311,5449324
locale,fr,2018-01-12 07:08:24,2021-08-26 09:17:53,91191823,5449324
last_reco_time_first_element_loaded-recommended,2019-01-06 04:30:50,2018-01-27 13:52:55,2019-01-06 04:30:50,98248701,5449324
