tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Buffy the Vampire Slayer,5449324,70327,1,0,2
My Wife and Kids,5449324,70329,0,0,0
Twin Peaks,5449324,70533,0,0,0
Charmed,5449324,70626,1,0,1
Fort Boyard,5449324,71350,0,0,1
The Simpsons,5449324,71663,1,1,691
Sabrina: The Animated Series,5449324,71811,0,0,0
Arrested Development,5449324,72173,1,0,82
The L Word,5449324,72477,0,0,0
Martin Mystery,5449324,72773,0,0,0
The Ant and the Aardvark,5449324,72947,1,0,0
Pokémon Chronicles,5449324,72975,0,0,0
American Dad!,5449324,73141,0,0,0
Space Goofs,5449324,73248,1,0,104
Medium,5449324,73265,1,0,19
Inspector Gadget,5449324,73693,0,0,0
101 Dalmatians: The Series,5449324,73719,0,0,0
Desperate Housewives,5449324,73800,1,0,0
Malcolm in the Middle,5449324,73838,1,0,192
Corneil & Bernie,5449324,73950,0,0,0
Aladdin,5449324,73981,0,0,0
The Adventures of Super Mario Bros. 3,5449324,74149,0,0,0
Code Lyoko,5449324,74280,1,0,87
The Super Mario Bros. Super Show!,5449324,74583,0,0,0
Weeds,5449324,74845,1,0,1
Cosmos,5449324,74995,0,0,0
Prison Break,5449324,75340,0,0,0
The Wild Thornberrys,5449324,75402,0,0,0
Criminal Minds,5449324,75710,0,0,0
SpongeBob SquarePants,5449324,75886,0,0,22
Kyle XY,5449324,76143,0,0,0
Freaks and Geeks,5449324,76321,0,0,0
Pokémon,5449324,76703,1,0,672
"Sabrina, The Teenage Witch",5449324,76876,1,0,2
The Little Mermaid,5449324,77088,0,0,0
The Addams Family,5449324,77137,0,0,0
Tales of the City,5449324,77422,0,0,0
The Adventures of Jimmy Neutron: Boy Genius,5449324,77612,0,0,0
Totally Spies!,5449324,77625,1,0,0
Tales from the Neverending Story,5449324,78043,1,0,0
Super Mario World,5449324,78523,0,0,0
Friends,5449324,79168,0,0,0
Dexter,5449324,79349,0,0,6
Ugly Betty,5449324,79352,1,0,0
Skins,5449324,79773,1,0,61
"Go, Diego, Go!",5449324,79896,0,0,1
The Big Bang Theory,5449324,80379,0,0,0
Happy Tree Friends,5449324,80534,0,0,128
Wizards of Waverly Place,5449324,80726,1,0,78
Le cœur a ses raisons,5449324,80741,1,0,39
"Don't Do This, Don't Do That",5449324,80977,1,1,71
H2O: Just Add Water,5449324,81061,1,0,3
Breaking Bad,5449324,81189,1,0,0
Phineas and Ferb,5449324,81848,1,0,1
Oggy and the Cockroaches,5449324,82956,1,0,85
Glee,5449324,83610,1,0,121
RuPaul's Drag Race,5449324,85002,0,0,0
Dinosaur King,5449324,85329,1,0,14
Modern Family,5449324,95011,0,0,1
The Middle,5449324,95021,1,0,10
The Vampire Diaries,5449324,95491,0,0,0
