poster,entity_type,created_at,movie_name,range_key,updated_at,entity_uuid,user_id,entity_id,series_name
map[url:https://artworks.thetvdb.com/banners/v4/movie/148003/posters/65ad6dc1434ee.jpg uuid:63808537],movie,2025-07-29 21:37:59,Ron's Gone Wrong,images-03198814-2441-4ca8-9177-7b6c26134285,2025-07-29 21:37:59,03198814-2441-4ca8-9177-7b6c26134285,5449324,148003,
map[url:https://artworks.thetvdb.com/banners/v4/series/382571/posters/67b0c73ed7c8f.jpg uuid:64254094],series,2026-02-21 22:56:02,,images-0601eefa-e226-401e-8f05-dab1a67ddf8c,2026-02-21 22:56:02,0601eefa-e226-401e-8f05-dab1a67ddf8c,5449324,382571,Mixte
map[url:https://dg31sz3gwrwan.cloudfront.net/poster/340234/61997227-0-optimized.jpg uuid:61997227],series,2022-06-23 19:28:32,,images-077678fc-dc37-4a5a-b242-eabc264d4f38,2022-06-23 19:28:32,077678fc-dc37-4a5a-b242-eabc264d4f38,5449324,340234,Disenchantment
map[url:https://artworks.thetvdb.com/banners/v4/movie/935/posters/65b6e0bc464de.jpg uuid:63819018],movie,2025-07-29 21:40:51,Hercules,images-0be8b8f5-1ded-4a66-ad5f-9a102bb52ecc,2025-07-29 21:40:51,0be8b8f5-1ded-4a66-ad5f-9a102bb52ecc,5449324,935,
map[url:https://dg31sz3gwrwan.cloudfront.net/poster/359238/1345019-0-optimized.jpg uuid:1345019],series,2022-06-23 19:35:02,,images-0f4c323b-971a-4b62-a39b-a782a057bce1,2022-06-23 19:35:02,0f4c323b-971a-4b62-a39b-a782a057bce1,5449324,359238,Osmosis (2019)
map[url:https://artworks.thetvdb.com/banners/v4/movie/330830/posters/66c36d9859ba8.jpg uuid:64060549],movie,2024-10-23 15:00:01,Joker: Folie à Deux,images-126c81a1-9815-4248-a11c-d16b295b7ac2,2024-10-23 15:00:34,126c81a1-9815-4248-a11c-d16b295b7ac2,5449324,330830,
map[url:https://artworks.thetvdb.com/banners/v4/series/416784/posters/631e49edea89a.jpg uuid:63194438],series,2025-03-10 02:03:51,,images-134f1d09-e430-48b0-a762-cd867e5ce41a,2025-03-10 02:03:51,134f1d09-e430-48b0-a762-cd867e5ce41a,5449324,416784,My Only 12%
map[url:https://artworks.thetvdb.com/banners/v4/series/399833/posters/60e71a9b1fadd.jpg uuid:62682999],series,2026-02-21 22:49:18,,images-1448ee11-067d-453a-b73a-53e70c6dab52,2026-02-21 22:49:18,1448ee11-067d-453a-b73a-53e70c6dab52,5449324,399833,Young Royals
map[url:https://artworks.thetvdb.com/banners/v4/movie/8794/posters/64c961220a4cf.jpg uuid:63595627],movie,2026-02-21 22:57:32,Midsommar,images-14f4c921-7cef-430c-b252-482fa1a09a87,2026-02-21 22:57:32,14f4c921-7cef-430c-b252-482fa1a09a87,5449324,8794,
map[url:https://artworks.thetvdb.com/banners/movies/534/posters/2195292.jpg uuid:22195292],movie,2026-02-21 22:58:26,Ratatouille,images-1533de7a-b620-4ce2-a72e-5f15ef96478d,2026-02-21 22:58:26,1533de7a-b620-4ce2-a72e-5f15ef96478d,5449324,534,
map[url:https://artworks.thetvdb.com/banners/v4/series/371980/posters/621096b26f0e2.jpg uuid:63000976],series,2025-02-18 09:02:41,,images-17f47fc9-1057-478e-8a33-fccd9b3a968e,2025-02-18 09:02:41,17f47fc9-1057-478e-8a33-fccd9b3a968e,5449324,371980,Severance
map[url:https://artworks.thetvdb.com/banners/v4/movie/340197/posters/65c978473fcce.jpg uuid:63834577],movie,2025-12-06 13:24:36,Despicable Me 4,images-1828cbda-edee-4a09-af91-706a3fc6d2fd,2025-12-06 13:24:36,1828cbda-edee-4a09-af91-706a3fc6d2fd,5449324,340197,
map[url:https://artworks.thetvdb.com/banners/v4/movie/17397/posters/68e481f9e0bef.jpg uuid:64497580],movie,2025-12-22 19:45:43,Make the Yuletide Gay,images-1bc63a3b-3603-460c-b6a8-24c953b506b7,2025-12-22 19:45:43,1bc63a3b-3603-460c-b6a8-24c953b506b7,5449324,17397,
map[url:https://artworks.thetvdb.com/banners/posters/79773-10.jpg uuid:1117857],series,2026-02-21 22:54:56,,images-29b0cbdc-090d-403e-a05c-3a808cd0ac12,2026-02-21 22:54:56,29b0cbdc-090d-403e-a05c-3a808cd0ac12,5449324,79773,Skins
map[url:https://artworks.thetvdb.com/banners/v4/movie/365810/posters/67f02dbb930f8.jpg uuid:64304034],movie,2026-02-21 22:18:49,Dalloway,images-2e33fe62-b859-46ae-b72e-8e26d4ab37e1,2026-02-21 22:18:49,2e33fe62-b859-46ae-b72e-8e26d4ab37e1,5449324,365810,
map[url:https://artworks.thetvdb.com/banners/v4/series/397060/posters/632dbd876738d.jpg uuid:63207926],series,2026-02-21 22:49:02,,images-30205a1d-3e64-4c03-928a-8de4a18095b6,2026-02-21 22:49:02,30205a1d-3e64-4c03-928a-8de4a18095b6,5449324,397060,Wednesday
map[url:https://artworks.thetvdb.com/banners/v4/series/249896/posters/660c569a388e9.jpg uuid:63906143],series,2022-07-23 13:50:12,,images-35315374-5e11-4545-b4b8-f7f773e626bc,2025-07-29 21:35:57,35315374-5e11-4545-b4b8-f7f773e626bc,5449324,249896,Secret Story
map[url:https://artworks.thetvdb.com/banners/v4/movie/154187/posters/675e05633a864.jpg uuid:64188564],movie,2025-07-29 21:37:30,Paddington in Peru,images-367d64c7-6719-400a-9845-550aa6691846,2025-07-29 21:37:44,367d64c7-6719-400a-9845-550aa6691846,5449324,154187,
map[url:https://artworks.thetvdb.com/banners/movies/137165/posters/5f85c58e325c1.jpg uuid:62362427],movie,2024-10-23 15:02:17,Mandibules,images-3b9949f6-a9f0-4c64-a367-6f3d57ccc54e,2024-10-23 15:02:17,3b9949f6-a9f0-4c64-a367-6f3d57ccc54e,5449324,137165,
map[url:https://dg31sz3gwrwan.cloudfront.net/poster/387697/62384188-0-optimized.jpg uuid:62384188],series,2022-06-23 19:32:34,,images-3cdb4bb4-07e9-4b39-b8ba-9c2c8b3a2c1e,2022-06-23 19:32:34,3cdb4bb4-07e9-4b39-b8ba-9c2c8b3a2c1e,5449324,387697,Love & Anarchy
map[url:https://artworks.thetvdb.com/banners/v4/movie/1614/posters/62e437da41d06.jpg uuid:63149632],movie,2025-12-06 13:24:31,Meet the Robinsons,images-42fee2d7-57a1-40cc-9972-4f7459fbf39f,2025-12-06 13:24:31,42fee2d7-57a1-40cc-9972-4f7459fbf39f,5449324,1614,
map[url:https://artworks.thetvdb.com/banners/v4/movie/4164/posters/6558dd27e6a1d.jpg uuid:63733696],movie,2026-02-21 22:57:41,Sister Act,images-43b2b5ac-a5e1-45da-8665-d66593b05ea6,2026-02-21 22:57:41,43b2b5ac-a5e1-45da-8665-d66593b05ea6,5449324,4164,
map[url:https://artworks.thetvdb.com/banners/v4/movie/345602/posters/65088ea4235f4.jpg uuid:63655800],movie,2024-10-23 15:03:05,Une année difficile,images-443be04b-b1cb-40de-aab9-75b6a9943a60,2024-10-23 15:03:05,443be04b-b1cb-40de-aab9-75b6a9943a60,5449324,345602,
map[url:https://artworks.thetvdb.com/banners/v4/movie/829/posters/65378d29d9455.jpg uuid:63701656],movie,2024-10-23 15:06:23,Jaws,images-445b0250-ca75-45fe-9618-b446d1220103,2024-10-23 15:06:23,445b0250-ca75-45fe-9618-b446d1220103,5449324,829,
map[url:https://artworks.thetvdb.com/banners/movies/14215/posters/14215.jpg uuid:2427205],movie,2024-10-23 15:00:16,Megan is Missing,images-4c2ad289-6545-475e-a6a3-53beb77e2c03,2024-10-23 15:00:16,4c2ad289-6545-475e-a6a3-53beb77e2c03,5449324,14215,
map[url:https://artworks.thetvdb.com/banners/v4/movie/356990/posters/66a62255a3f3d.jpg uuid:64037513],movie,2024-10-23 15:02:06,Spadek,images-4fd35bdd-64d9-495a-96d8-2833fb5a8a1a,2024-10-23 15:02:06,4fd35bdd-64d9-495a-96d8-2833fb5a8a1a,5449324,356990,
map[url:https://artworks.thetvdb.com/banners/movies/8853/posters/8853.jpg uuid:2507539],movie,2026-01-02 15:06:35,Kill Your Darlings,images-55873f00-c89f-4d8d-a447-635ed2abc30a,2026-01-02 15:06:35,55873f00-c89f-4d8d-a447-635ed2abc30a,5449324,8853,
map[url:https://artworks.thetvdb.com/banners/v4/series/390430/posters/60d37c69d1c30.jpg uuid:62669500],series,2025-04-25 09:30:18,,images-559fb80a-a396-49f0-abd5-16d9433f6731,2025-04-25 09:30:18,559fb80a-a396-49f0-abd5-16d9433f6731,5449324,390430,The White Lotus
map[url:https://artworks.thetvdb.com/banners/v4/movie/2570/posters/66577e7325d35.jpg uuid:63977160],movie,2024-10-23 15:03:57,Mauvaises herbes,images-55ebfdf4-7b8f-42fe-8c28-90822ecde7a1,2024-10-23 15:03:57,55ebfdf4-7b8f-42fe-8c28-90822ecde7a1,5449324,2570,
