updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,watched_on_source_id,created_at
2018-07-08 13:39:54,Arrested Development,2,10,5449324,75865,1,2018-07-08 13:39:54
2018-07-12 15:17:08,Arrested Development,2,15,5449324,75870,3,2018-07-12 15:17:08
2019-04-29 00:11:03,"Sabrina, The Teenage Witch",1,1,5449324,218584,3,2019-04-29 00:11:03
2019-04-30 20:16:33,"Sabrina, The Teenage Witch",1,2,5449324,218585,3,2019-04-30 20:16:33
2018-12-26 22:13:32,"Go, Diego, Go!",1,3,5449324,324818,3,2018-12-26 22:13:32
2019-03-15 20:06:00,Game of Thrones,1,8,5449324,3360391,3,2019-03-15 20:06:00
2020-03-28 15:04:35,Skins,5,8,5449324,3412851,3,2020-03-28 15:04:35
2018-07-08 15:15:16,Game of Thrones,1,5,5449324,3436441,3,2018-07-08 15:15:16
2019-07-22 04:41:21,Glee,2,18,5449324,3901811,3,2019-07-22 04:41:21
2019-07-22 11:22:00,Glee,2,19,5449324,3924021,3,2019-07-22 11:22:00
2019-06-25 21:48:47,Pokémon,14,8,5449324,3991431,3,2019-06-25 21:48:47
2019-07-23 23:55:46,Glee,2,20,5449324,4081820,1,2019-07-23 23:55:46
2019-07-23 23:55:43,Glee,2,21,5449324,4081821,1,2019-07-23 23:55:43
2019-07-24 01:23:02,Glee,2,22,5449324,4081822,3,2019-07-24 01:23:02
2019-07-28 12:10:19,Glee,3,4,5449324,4174039,4,2019-07-28 12:10:19
2019-03-26 19:37:15,Game of Thrones,2,3,5449324,4245772,3,2019-03-26 19:37:15
2018-07-19 04:26:18,Shuriken School,1,2,5449324,4294643,3,2018-07-19 04:26:18
2018-07-19 04:26:21,Shuriken School,2,2,5449324,4294644,3,2018-07-19 04:26:21
2018-07-19 05:13:48,Shuriken School,2,5,5449324,4294646,3,2018-07-19 05:13:48
2018-07-24 03:07:53,Shuriken School,1,7,5449324,4295239,3,2018-07-24 03:07:53
2018-07-24 03:52:34,Shuriken School,1,9,5449324,4295240,3,2018-07-24 03:52:34
2018-07-24 03:56:46,Shuriken School,1,8,5449324,4295242,3,2018-07-24 03:56:46
2020-03-29 21:49:59,Skins,7,1,5449324,4448267,3,2020-03-29 21:49:59
2018-07-18 02:12:38,Arrested Development,4,3,5449324,4460002,3,2018-07-18 02:12:38
2018-07-18 17:00:34,Arrested Development,4,10,5449324,4460011,3,2018-07-18 17:00:34
2022-07-01 06:15:53,Code Lyoko: Evolution,1,1,5449324,4460750,3,2022-07-01 06:15:53
2018-07-18 21:15:45,Arrested Development,4,15,5449324,4543822,3,2018-07-18 21:15:45
2019-03-14 16:10:07,Reign (2013),1,1,5449324,4570259,4,2019-03-14 16:10:07
2019-03-14 17:03:08,Reign (2013),1,2,5449324,4675283,4,2019-03-14 17:03:08
