type,vote_type,created_at,network_platform,user_id,id,episode_id,range_key,hash_key,series_name,episode_number,season_number
selection,how-did-you,2021-08-24 04:58:05,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,d796aba6-6623-4374-b1ce-ae7e17d88d79,0,5449324,4d4d19f4-6590-45de-9654-697b53528fb8,,,
selection,how-did-you,2020-12-17 12:22:50,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,512b0574-6cef-49c7-8835-4033eb6a159a,0,5449324,5a432bdc-e493-410b-bee8-af93095c6fcf,,,
selection,how-did-you,2021-10-23 12:50:07,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,a107e9e9-86ea-45d3-a1a7-afb368eb915a,0,5449324,f3891ac0-08b5-45ee-a64d-63d4fe845f64,,,
selection,how-did-you,2021-10-03 16:18:05,,5449324,05972a93-8d1c-4085-b1d5-52c679e50b96,0,5449324,7081fdda-1aba-4391-9e5e-1b1a3de4f45a,,,
selection,how-did-you,2021-02-16 11:36:27,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,704c7ada-94df-48e8-9116-ad4036b9c2e8,0,5449324,2441a861-c846-4a3c-b365-32f720426143,,,
selection,how-did-you,2021-12-10 21:04:46,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,cfaeb1bd-9b09-4775-b1e3-aca5c783c736,0,5449324,2321bf1c-f30d-47df-ae38-518e4857c4fc,,,
selection,how-did-you,2021-05-01 20:06:05,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,f9fe1e1e-17bf-4e51-8f45-150152e90bfe,0,5449324,b8137d04-f505-4b41-aeae-db9c85d4ac51,,,
selection,how-did-you,2021-05-03 16:07:46,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,b091e3d6-73f5-4c4f-b2f1-f693a904eaf4,0,5449324,115fb902-092a-4e6a-a673-c9698eeaec0f,,,
selection,how-did-you,2021-01-04 23:40:38,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,df040d6d-612e-4458-87dc-4d677f7a9098,0,5449324,e2c79312-ca01-40fc-bd7a-002fb5bbf34b,,,
selection,how-did-you,2021-02-12 20:51:54,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,96321a35-04aa-4b76-a50c-9e42b2bc8e7c,0,5449324,a7e059a9-d24b-45f6-8392-8798beda2f4f,,,
